Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,"Cumprimento da Diretriz do Plano de Amostragem da Vigilância
da Qualidade da Água de Consumo Humano - Parâmetros Básicos 2015.",Unnamed: 5,Unnamed: 6,Resultado indicador em  2019*,"Cumprimento da Diretriz do Plano de Amostragem da Vigilância
da Qualidade da Água de Consumo Humano - Parâmetros Básicos 2015..1",Unnamed: 9,Unnamed: 10,Resultado indicador em  2020**
Centro Leste,Seabra,290010,Abaíra,,,,0,,,,0
Norte,Paulo Afonso,290020,Abaré,"65,15%","65,15%","59,09%",62.8775,"118,18%","116,67%","116,67%",117.141875
Nordeste,Alagoinhas,290030,Acajutiba,,"65,00%","65,00%",44.6875,,"75,00%","74,17%",51.25125
Nordeste,Ribeira do Pombal,290035,Adustina,,"90,83%","91,67%",62.76062499999999,,"100,00%","99,17%",68.43875
Centro Leste,Serrinha,290040,Água Fria,"119,17%","119,17%","119,17%",119.17,"80,00%","80,00%","80,00%",80
Sul,Jequié,290060,Aiquara,"95,83%","95,83%","95,83%",95.83,"66,67%","66,67%","65,28%",66.14875
Nordeste,Alagoinhas,290070,Alagoinhas,"84,67%","97,67%","97,67%",93.60749999999999,"88,33%","88,67%","89,00%",88.6875
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,,"55,30%","55,30%",38.018750000000004,"35,61%","44,70%","44,70%",41.859375
Sul,Itabuna,290090,Almadina,"3,70%","42,59%","53,70%",34.603125,"58,33%","78,70%","87,96%",75.806875
Leste,Santo Antônio de Jesus,290100,Amargosa,"100,00%","100,00%","100,00%",100,"68,59%","68,59%","68,59%",68.59
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,,,,0,,,,0
Centro Norte,Irecê,290115,América Dourada,,,,0,,,,0
Sudoeste,Vitória da Conquista,290120,Anagé,"114,17%","132,50%","129,17%",125.52312500000001,"72,50%","71,67%","70,00%",71.303125
Centro Leste,Itaberaba,290130,Andaraí,"5,83%","14,17%","14,17%",11.563749999999999,"17,50%","35,83%","35,83%",30.101875
Norte,Senhor do Bonfim,290135,Andorinha,,,,0,,,,0
Oeste,Barreiras,290140,Angical,,"1,67%","1,67%",1.1481249999999998,,,,0
Centro Leste,Feira de Santana,290150,Anguera,"83,33%","75,00%","83,33%",80.72687499999999,"93,52%","93,52%","93,52%",93.52
Nordeste,Ribeira do Pombal,290160,Antas,"56,06%","74,24%","74,24%",68.55875,"42,42%","54,55%","55,30%",51.040625
Centro Leste,Feira de Santana,290170,Antônio Cardoso,"64,17%","65,83%","65,83%",65.31125,"100,00%","100,00%","98,33%",99.37375
Norte,Senhor do Bonfim,290180,Antônio Gonçalves,"12,50%",,"86,67%",36.4075,,,,0
Nordeste,Alagoinhas,290190,Aporá,,"32,50%","33,33%",22.655,,"40,00%","39,17%",27.18875
Sul,Jequié,290195,Apuarema,"6,48%","12,96%","12,96%",10.935,"25,93%","40,74%","39,81%",35.763125
Nordeste,Alagoinhas,290205,Araçás,"102,50%","98,33%","98,33%",99.63312499999999,"100,00%","104,17%","104,17%",102.866875
Sudoeste,Brumado,290200,Aracatu,"65,00%","65,00%","63,33%",64.37375,"6,67%","6,67%","6,67%",6.67
Centro Leste,Serrinha,290210,Araci,"109,44%","113,33%","112,22%",111.698125,"102,22%","102,22%","100,00%",101.3875
Nordeste,Alagoinhas,290220,Aramari,"45,00%","56,67%","54,17%",52.08562499999999,"47,50%","55,00%","55,00%",52.65625
Sul,Ilhéus,290225,Arataca,"46,30%","45,37%","46,30%",46.009375000000006,"70,37%","51,85%","70,37%",64.5825
Leste,Santo Antônio de Jesus,290230,Aratuípe,"74,07%","91,67%","89,81%",85.47250000000001,"38,89%","59,26%","59,26%",52.894375
Sul,Itabuna,290240,Aurelino Leal,,,,0,,"33,33%","31,67%",22.291875
Oeste,Barreiras,290250,Baianópolis,,,,0,,,,0
Centro Leste,Feira de Santana,290260,Baixa Grande,,,,0,,,,0
Nordeste,Ribeira do Pombal,290265,Banzaê,"58,33%","59,17%","59,17%",58.9075,"74,17%","73,33%","74,17%",73.9075
Oeste,Ibotirama,290270,Barra,"16,67%","16,67%","15,56%",16.253749999999997,,,,0
Sudoeste,Brumado,290280,Barra da Estiva,,"59,85%","59,85%",41.146875,,"34,85%","35,61%",24.244375
Sudoeste,Vitória da Conquista,290290,Barra do Choça,"104,86%","104,86%","104,17%",104.60125000000001,"87,50%","88,19%","86,11%",87.194375
Centro Norte,Irecê,290300,Barra do Mendes,,,,0,,,,0
Sul,Jequié,290310,Barra do Rocha,,"86,11%","86,11%",59.200624999999995,"12,96%","78,70%","77,78%",57.81125
Oeste,Barreiras,290320,Barreiras,"122,00%","115,00%","115,67%",117.43875,"60,90%","37,50%","37,50%",44.8125
Centro Norte,Irecê,290323,Barro Alto,,,,0,,,,0
Sul,Itabuna,290330,Barro Preto,,"45,37%","72,22%",41.260625,,"33,33%","33,33%",22.914375
Centro Leste,Serrinha,290327,Barrocas,"110,00%","110,83%","118,33%",113.38312499999998,"101,67%","101,67%","101,67%",101.67
Extremo Sul,Porto Seguro,290340,Belmonte,"8,33%","98,48%","98,48%",70.308125,"92,42%","102,27%","100,76%",98.625625
Sudoeste,Vitória da Conquista,290350,Belo Campo,"75,00%","98,33%","97,50%",90.72812499999999,"71,67%","76,67%","76,67%",75.1075
Centro Leste,Serrinha,290360,Biritinga,"95,00%","110,00%","120,00%",109.0625,"101,67%","103,33%","102,50%",102.5
Sul,Jequié,290370,Boa Nova,"105,83%","110,00%","110,00%",108.69687499999998,"99,17%","105,00%","104,17%",102.866875
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,,,,0,,,,0
Oeste,Santa Maria da Vitória,290390,Bom Jesus da Lapa,"34,31%","71,57%","70,59%",59.558749999999996,"17,16%","17,16%","17,16%",17.16
Sudoeste,Vitória da Conquista,290395,Bom Jesus da Serra,"100,00%","99,07%","101,85%",100.40312499999999,"95,37%","95,37%","95,37%",95.37
Centro Leste,Seabra,290400,Boninal,,"58,33%","58,33%",40.101875,,,,0
Centro Leste,Itaberaba,290405,Bonito,,,,0,,,,0
Sudoeste,Brumado,290410,Boquira,,"21,97%","21,97%",15.104374999999997,"4,55%","6,82%","6,82%",6.110625
Sudoeste,Brumado,290420,Botuporâ,"18,52%","18,52%","18,52%",18.52,,,,0
Sul,Jequié,290430,Brejões,"45,83%","66,67%","66,67%",60.1575,"48,33%","74,17%","73,33%",65.78
Oeste,Barreiras,290440,Brejolândia,,"5,56%","5,56%",3.8224999999999993,,"37,96%","37,96%",26.0975
Oeste,Ibotirama,290450,Brotas de Macaúbas,,"0,93%","0,93%",0.6393749999999999,,,,0
Sudoeste,Brumado,290460,Brumado,"84,31%","98,53%","95,10%",92.8,"53,43%","58,33%","57,84%",56.615
Sul,Itabuna,290470,Buerarema,,"75,83%","98,33%",60.57062499999999,,"70,83%","85,83%",54.320625
Oeste,Ibotirama,290475,Buritirama,"91,67%","79,55%","76,52%",82.20125,"6,06%","15,15%","15,15%",12.309375
Sudoeste,Itapetinga,290480,Caatiba,"112,04%","128,70%","125,00%",122.10624999999999,"47,22%","47,22%","47,22%",47.22
Leste,Cruz das Almas,290485,Cabaceiras do Paraguaçu,"100,83%","105,83%","105,00%",103.95625,"46,97%","46,97%","46,21%",46.685
Leste,Cruz das Almas,290490,Cachoeira,"23,08%","38,46%","38,46%",33.653749999999995,"53,47%","53,47%","52,78%",53.21125
Sudoeste,Guanambi,290500,Caculé,"77,27%","80,30%","80,30%",79.35312499999999,"72,73%","64,39%","72,73%",70.12375
Centro Norte,Jacobina,290510,Caém,"103,70%","104,63%","104,63%",104.33937499999999,"90,74%","91,67%","90,74%",91.030625
Sudoeste,Vitória da Conquista,290515,Caetanos,"77,50%","95,83%","95,83%",90.10187499999999,"81,67%","82,50%","82,50%",82.240625
Sudoeste,Guanambi,290520,Caetité,"38,89%","73,89%","73,89%",62.9525,"79,44%","98,33%","98,33%",92.426875
Centro Norte,Irecê,290530,Cafarnaum,,,,0,,,,0
Sul,Valença,290540,Cairu,"24,17%","47,50%","46,67%",39.89812499999999,"56,67%","55,83%","54,17%",55.47
Centro Norte,Jacobina,290550,Caldeirão Grande,"33,33%","75,00%","83,33%",65.10187499999999,"91,67%","91,67%","90,83%",91.355
Sul,Itabuna,290560,Camacan,"58,33%","70,83%","95,83%",76.29875,"65,97%","65,28%","81,25%",71.484375
Leste,Camaçari,290570,Camaçari,"82,62%","97,62%","97,86%",93.02250000000001,"106,19%","102,62%","103,57%",104.091875
Sul,Valença,290580,Camamu,"57,69%","66,03%","65,38%",63.17999999999999,"49,36%","66,03%","66,03%",60.820625
Norte,Juazeiro,290590,Campo Alegre de Lourdes,,,,0,,,,0
Norte,Senhor do Bonfim,290600,Campo Formoso,"38,24%","9,80%","52,45%",34.68125,"3,43%","6,86%","7,35%",5.971875
Oeste,Santa Maria da Vitória,290610,Canápolis,,"82,41%","68,52%",51.44812499999999,,"16,67%","16,67%",11.460625
Centro Norte,Irecê,290620,Canarana,,,,0,,,,0
Sul,Ilhéus,290630,Canavieiras,"74,31%","72,92%","97,92%",82.72937499999999,"77,78%","72,92%","89,58%",80.68625
Centro Leste,Feira de Santana,290640,Candeal,"47,22%","79,63%","79,63%",69.50187499999998,"53,70%","51,85%","51,85%",52.428125
Leste,Salvador,290650,Candeias,"81,14%","92,11%","90,79%",88.186875,"70,61%","69,30%","71,05%",70.365625
Sudoeste,Guanambi,290660,Candiba,"33,33%","33,33%","33,33%",33.33,"25,00%","25,00%","25,00%",25
Sudoeste,Vitória da Conquista,290670,Cândido Sales,"104,55%","104,55%","104,55%",104.54999999999998,"54,55%","54,55%","54,55%",54.55
Centro Leste,Serrinha,290680,Cansanção,"120,51%","123,08%","123,08%",122.27687499999999,"123,08%","123,08%","123,08%",123.08
Norte,Juazeiro,290682,Canudos,"30,00%","100,00%","100,00%",78.125,"81,67%","82,50%","81,67%",81.929375
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,,"94,17%","94,17%",64.74187500000001,,"53,33%","53,33%",36.664375
Centro Norte,Jacobina,290687,Capim Grosso,"85,42%","78,47%","84,72%",82.98562500000001,"41,67%","90,97%","89,58%",75.0425
Sudoeste,Vitória da Conquista,290689,Caraíbas,"69,44%","70,37%","70,37%",70.079375,"76,85%","80,56%","80,56%",79.400625
Extremo Sul,Teixeira de Freitas,290690,Caravelas,"65,91%","97,73%","90,15%",84.94375,"86,36%","99,24%","96,21%",94.07875
Nordeste,Alagoinhas,290700,Cardeal da Silva,"10,19%","60,19%","40,74%",37.271249999999995,,"29,63%","13,89%",14.468125
Sudoeste,Guanambi,290710,Carinhanha,"90,28%","95,83%","95,14%",93.83687499999999,"55,56%","55,56%","55,56%",55.56
Norte,Juazeiro,290720,Casa Nova,,,,0,,,,0
Leste,Santo Antônio de Jesus,290730,Castro Alves,"98,48%","99,24%","98,48%",98.71749999999999,"86,81%","86,81%","86,11%",86.5475
Oeste,Barreiras,290740,Catolândia,"102,78%","170,83%","169,44%",149.04312499999997,"8,33%","11,11%","11,11%",10.24125
Nordeste,Alagoinhas,290750,Catu,"94,44%","108,89%","108,33%",104.16437499999999,"106,67%","120,56%","120,00%",116.009375
Sudoeste,Brumado,290755,Caturama,"55,56%","56,48%","56,48%",56.1925,"47,22%","47,22%","47,22%",47.22
Centro Norte,Irecê,290760,Central,,,,0,"23,33%","20,83%","23,33%",22.54875
Norte,Paulo Afonso,290770,Chorrochó,,"122,22%","122,22%",84.02624999999999,,"55,56%","55,56%",38.1975
Nordeste,Ribeira do Pombal,290780,Cícero Dantas,,"102,78%","102,08%",70.39874999999999,,"104,17%","103,47%",71.354375
Nordeste,Ribeira do Pombal,290790,Cipó,,"10,00%","10,00%",6.874999999999999,,"15,83%","15,83%",10.883125
Sul,Itabuna,290800,Coaraci,"5,00%","8,33%","17,50%",10.728124999999999,,"60,83%","65,83%",43.695625
Oeste,Santa Maria da Vitória,290810,Cocos,,"4,17%","5,00%",3.1781249999999996,,,,0
Leste,Cruz das Almas,290820,Conceição da Feira,"103,03%","103,79%","103,79%",103.55249999999998,"83,33%","83,33%","81,82%",82.76375
Leste,Santo Antônio de Jesus,290830,Conceição do Almeida,"95,00%","114,17%","111,67%",107.24187499999998,"116,67%","120,00%","118,33%",118.333125
Centro Leste,Serrinha,290840,Conceição do Coité,"115,20%","117,16%","117,16%",116.54749999999999,"114,22%","107,84%","107,35%",109.65
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,"100,00%","100,00%","100,00%",100,"90,97%","90,97%","90,28%",90.71125
Leste,Camaçari,290860,Conde,,,,0,,,,0
Sudoeste,Vitória da Conquista,290870,Condeúba,"95,00%","94,17%","94,17%",94.429375,"49,17%","49,17%","48,33%",48.855
Sudoeste,Brumado,290880,Contendas do Sincorá,"84,72%","95,83%","95,83%",92.35812499999999,"61,11%","63,89%","63,89%",63.02125
Centro Leste,Feira de Santana,290890,Coração de Maria,"0,76%","38,64%","38,64%",26.802499999999995,,,,0
Sudoeste,Vitória da Conquista,290900,Cordeiros,"64,81%","93,52%","94,44%",84.893125,"65,74%","72,22%","72,22%",70.195
Oeste,Santa Maria da Vitória,290910,Coribe,,,,0,,,,0
Nordeste,Ribeira do Pombal,290920,Coronel João Sá,,,,0,,"90,83%","90,00%",62.134375
Oeste,Santa Maria da Vitória,290930,Correntina,,"36,11%","23,61%",20.138125,,,,0
Oeste,Barreiras,290940,Cotegipe,"0,83%","0,83%","0,83%",0.83,,,,0
Sul,Jequié,290950,Cravolândia,"62,96%","53,70%","53,70%",56.59375,"78,70%","74,07%","74,07%",75.516875
Nordeste,Alagoinhas,290960,Crisópolis,,"3,79%","3,79%",2.6056250000000003,,"15,91%","15,91%",10.938125
Oeste,Barreiras,290970,Cristópolis,"61,67%","80,83%","81,67%",75.1575,"14,17%","16,67%","16,67%",15.88875
Leste,Cruz das Almas,290980,Cruz das Almas,"99,48%","97,40%","97,92%",98.24499999999999,"84,90%","84,90%","84,90%",84.9
Norte,Juazeiro,290990,Curaçá,,,,0,,,,0
Sul,Jequié,291000,Dário Meira,"83,33%","92,59%","92,59%",89.69624999999999,"44,44%","45,37%","45,37%",45.079375
Leste,Camaçari,291005,Dias d'Ávila,"59,26%","100,00%","99,07%",86.92,"64,81%","93,06%","93,06%",84.231875
Sudoeste,Brumado,291010,Dom Basílio,"90,83%","92,50%","92,50%",91.97812499999999,"66,67%","66,67%","66,67%",66.67
Leste,Santo Antônio de Jesus,291020,Dom Macedo Costa,"45,83%","45,83%","45,83%",45.82999999999999,"48,61%","48,61%","48,61%",48.61
Leste,Santo Antônio de Jesus,291030,Elísio Medrado,,"68,52%","68,52%",47.107499999999995,,"60,19%","61,11%",41.725625
Sudoeste,Vitória da Conquista,291040,Encruzilhada,"109,17%","110,83%","110,83%",110.31125,"65,83%","65,83%","65,83%",65.83
Nordeste,Alagoinhas,291050,Entre Rios,"71,43%","89,29%","89,29%",83.70875,"75,00%","79,76%","79,76%",78.2725
Sudoeste,Brumado,290050,Érico Cardoso,"100,93%","100,93%","99,07%",100.23249999999999,"63,89%","64,81%","64,81%",64.5225
Nordeste,Alagoinhas,291060,Esplanada,"28,85%","36,54%","36,54%",34.136874999999996,"41,67%","51,92%","52,56%",48.956875
Centro Leste,Serrinha,291070,Euclides da Cunha,"125,00%","125,00%","125,00%",125,"125,00%","125,00%","125,00%",125
Extremo Sul,Porto Seguro,291072,Eunápolis,"63,10%","103,57%","103,57%",90.923125,"96,03%","98,02%","98,02%",97.398125
Nordeste,Ribeira do Pombal,291075,Fátima,"89,17%","89,17%","89,17%",89.16999999999999,"74,17%","82,50%","82,50%",79.896875
Sudoeste,Guanambi,291077,Feira da Mata,"4,63%","4,63%","4,63%",4.63,"44,44%","44,44%","43,52%",44.095
Centro Leste,Feira de Santana,291080,Feira de Santana,"88,83%","89,54%","89,36%",89.250625,"62,94%","62,94%","62,59%",62.80875
Norte,Senhor do Bonfim,291085,Filadélfia,"82,50%","33,33%","82,50%",67.13437499999999,,,,0
Sudoeste,Itapetinga,291090,Firmino Alves,"89,81%","89,81%","85,19%",88.0775,"87,96%","88,89%","87,04%",87.905625
Sul,Itabuna,291100,Floresta Azul,"16,67%","58,33%","90,74%",57.46499999999999,"29,63%","16,67%","31,48%",26.27375
Oeste,Barreiras,291110,Formosa do Rio Preto,"109,85%","115,91%","115,91%",114.01625,"100,00%","33,33%","33,33%",54.164375
Sul,Valença,291120,Gandu,,"88,89%","88,89%",61.111875000000005,,"72,22%","63,19%",46.265
Centro Leste,Feira de Santana,291125,Gavião,"100,00%","100,00%","98,61%",99.47875,"100,00%","100,00%","95,83%",98.43625
Centro Norte,Irecê,291130,Gentio do Ouro,"5,56%","5,56%","5,56%",5.559999999999999,,,,0
Norte,Paulo Afonso,291140,Glória,"120,00%","120,00%","120,00%",120,"120,00%","120,00%","120,00%",120
Sul,Itabuna,291150,Gongogi,,,,0,,,,0
Leste,Cruz das Almas,291160,Governador Mangabeira,"105,30%","100,00%","100,00%",101.65625,"96,97%","103,03%","103,03%",101.13625
Sudoeste,Brumado,291165,Guajeru,"73,15%","91,67%","91,67%",85.8825,"77,78%","88,89%","88,89%",85.418125
Sudoeste,Guanambi,291170,Guanambi,"68,98%","74,54%","74,54%",72.8025,"54,63%","56,94%","55,56%",55.700625
Extremo Sul,Porto Seguro,291180,Guaratinga,"14,39%","39,39%","39,39%",31.577499999999993,,,,0
Nordeste,Ribeira do Pombal,291185,Heliópolis,,"85,00%","85,00%",58.4375,,"85,00%","85,00%",58.4375
Centro Leste,Itaberaba,291190,Iaçu,"29,55%","29,55%","29,55%",29.549999999999997,,,,0
Sudoeste,Guanambi,291200,Ibiassucê,"88,89%","100,00%","100,00%",96.52812499999999,"75,93%","86,11%","86,11%",82.92875
Sul,Itabuna,291210,Ibicaraí,,"31,82%","54,55%",30.399999999999995,,"12,88%","12,88%",8.855
Sudoeste,Brumado,291220,Ibicoara,"66,67%","87,12%","87,12%",80.72937499999999,"56,82%","65,91%","65,15%",62.784375
Sudoeste,Itapetinga,291230,Ibicuí,"79,17%","79,17%","79,17%",79.16999999999999,"30,00%","30,83%","29,17%",29.948125
Centro Norte,Irecê,291240,Ibipeba,,,,0,,,,0
Sudoeste,Brumado,291250,Ibipitanga,"85,00%","85,00%","85,00%",84.99999999999999,"80,00%","80,83%","80,83%",80.570625
Centro Leste,Itaberaba,291260,Ibiquera,,"72,22%","70,83%",49.129999999999995,,"45,83%","45,83%",31.508125
Sul,Itabuna,291270,Ibirapitanga,,"51,52%","70,45%",42.51875,,"53,03%","65,15%",41.003125
Extremo Sul,Teixeira de Freitas,291280,Ibirapuã,"18,52%","21,30%","21,30%",20.43125,"32,41%","26,85%","26,85%",28.5875
Sul,Jequié,291290,Ibirataia,,"40,83%","40,83%",28.070625,,"34,17%","34,17%",23.491875
Centro Leste,Seabra,291300,Ibitiara,,"86,67%","85,83%",59.270624999999995,,"37,50%","37,50%",25.78125
Centro Norte,Irecê,291310,Ibititá,,,,0,,,,0
Oeste,Ibotirama,291320,Ibotirama,,,,0,,,,0
Centro Leste,Feira de Santana,291330,Ichu,"25,00%","70,37%","70,37%",56.191875,"41,67%","50,00%","50,00%",47.396875
Sudoeste,Guanambi,291340,Igaporã,,"91,67%","90,83%",62.708125,,"16,67%","15,83%",11.145625
Sul,Valença,291345,Igrapiúna,"35,00%","75,00%","75,00%",62.5,"70,00%","98,33%","98,33%",89.476875
Sudoeste,Itapetinga,291350,Iguaí,,"28,47%","28,47%",19.573125,,"92,36%","92,36%",63.4975
Sul,Ilhéus,291360,Ilhéus,,"34,94%","46,79%",28.464999999999996,,"8,33%","12,50%",7.290625
Nordeste,Alagoinhas,291370,Inhambupe,"43,59%","81,41%","81,41%",69.59124999999999,"55,77%","66,67%","66,03%",63.02375
Centro Leste,Feira de Santana,291380,Ipecaetá,"89,17%","99,17%","99,17%",96.04499999999999,"67,50%","74,17%","74,17%",72.085625
Sul,Jequié,291390,Ipiaú,"100,60%","101,19%","100,00%",100.559375,"106,55%","106,55%","106,55%",106.55
Centro Leste,Feira de Santana,291400,Ipirá,,"28,65%","32,81%",21.256875,,,,0
Oeste,Ibotirama,291410,Ipupiara,,"39,81%","39,81%",27.369375,,"3,70%","3,70%",2.54375
Sul,Jequié,291420,Irajuba,"12,04%","68,52%","67,59%",50.521249999999995,"23,15%","31,48%","31,48%",28.876875
Sul,Jequié,291430,Iramaia,,"82,41%",,25.753124999999997,,"38,89%","33,33%",24.651875
Centro Leste,Seabra,291440,Iraquara,"77,27%","99,24%","98,48%",92.08937499999999,"115,15%","108,33%","108,33%",110.46125
Centro Leste,Feira de Santana,291450,Irará,"1,39%","5,56%","5,56%",4.256874999999999,,,,0
Centro Norte,Irecê,291460,Irecê,,,,0,,,,0
Extremo Sul,Porto Seguro,291465,Itabela,"65,97%","98,61%","98,61%",88.40999999999998,"100,00%","100,00%","100,00%",100
Centro Leste,Itaberaba,291470,Itaberaba,"93,23%","93,23%","93,23%",93.23,"76,56%","76,56%","76,56%",76.56
Sul,Itabuna,291480,Itabuna,"77,42%","68,55%","98,39%",82.51187499999999,"50,27%","64,25%","79,84%",65.7275
Sul,Ilhéus,291490,Itacaré,,"2,78%","2,78%",1.9112499999999997,,"0,69%","0,69%",0.474375
Centro Leste,Itaberaba,291500,Itaeté,,,,0,,,,0
Sul,Jequié,291510,Itagi,"95,83%","95,83%","95,00%",95.51875,"100,00%","100,00%","100,00%",100
Sul,Jequié,291520,Itagibá,"80,00%","87,50%","86,67%",84.845,"66,67%","66,67%","66,67%",66.67
Extremo Sul,Porto Seguro,291530,Itagimirim,,"86,11%","79,63%",56.770624999999995,,"40,74%","39,81%",27.66
Centro Norte,Irecê,291535,Itaguaçu da Bahia,,,,0,,,,0
Sul,Itabuna,291540,Itaju do Colônia,"71,30%","58,33%","83,33%",71.758125,"55,56%","40,74%","57,41%",51.6225
Sul,Itabuna,291550,Itajuípe,"25,76%","31,06%","50,76%",36.79125,"68,18%","62,88%","79,55%",70.7875
Extremo Sul,Teixeira de Freitas,291560,Itamaraju,"21,35%","114,58%","114,58%",85.44562499999999,"96,35%","106,25%","105,73%",102.96125
Sul,Jequié,291570,Itamari,,"50,93%","50,00%",34.66562499999999,,"39,81%","39,81%",27.369375
Sudoeste,Itapetinga,291580,Itambé,"90,91%","90,91%","90,91%",90.91,"93,18%","93,18%","93,18%",93.18
Nordeste,Alagoinhas,291590,Itanagra,"51,85%","65,74%","65,74%",61.39937499999999,"35,19%","50,00%","45,37%",43.635625
Extremo Sul,Teixeira de Freitas,291600,Itanhém,,"0,76%","0,76%",0.5225,,,,0
Leste,Salvador,291610,Itaparica,,"68,94%","65,15%",45.975,,,,0
Sul,Itabuna,291620,Itapé,,"74,07%","97,22%",59.604375,"44,44%","57,41%","62,96%",55.438125
Extremo Sul,Porto Seguro,291630,Itapebi,"24,07%","102,78%","100,00%",77.14062499999999,"33,33%","75,00%","75,00%",61.978125
Sudoeste,Itapetinga,291640,Itapetinga,"94,91%","94,44%","93,98%",94.41437499999999,"91,67%","91,67%","90,74%",91.32125
Nordeste,Alagoinhas,291650,Itapicuru,"41,67%","67,31%","67,31%",59.2975,"55,77%","98,72%","98,72%",85.298125
Sul,Itabuna,291660,Itapitanga,"82,41%","58,33%","59,26%",66.20375,"117,59%","75,00%","66,67%",85.185625
Sul,Jequié,291670,Itaquara,"67,59%","69,44%","68,52%",68.51687499999998,"75,00%","75,00%","74,07%",74.65125
Sudoeste,Itapetinga,291680,Itarantim,"96,21%","96,21%","96,21%",96.20999999999998,"72,73%","81,82%","81,82%",78.979375
Leste,Santo Antônio de Jesus,291685,Itatim,"100,00%","91,67%","91,67%",94.273125,"66,67%","41,67%","48,33%",51.98
Sul,Jequié,291690,Itiruçú,,"69,17%","70,00%",47.865624999999994,"14,17%","16,67%","20,00%",17.1375
Norte,Senhor do Bonfim,291700,Itiúba,"80,77%","47,44%","126,28%",87.420625,"71,79%","69,87%","101,28%",82.24875
Sudoeste,Itapetinga,291710,Itororó,"106,82%","106,82%","106,82%",106.81999999999998,"91,67%","93,18%","93,18%",92.708125
Sudoeste,Brumado,291720,Ituaçu,"103,79%","103,79%","103,03%",103.505,"84,09%","84,09%","83,33%",83.805
Sul,Valença,291730,Ituberá,,"66,67%","66,67%",45.83562499999999,,"39,58%","38,19%",26.69
Sudoeste,Guanambi,291733,Iuiú,"17,59%","17,59%","17,59%",17.59,,,,0
Oeste,Santa Maria da Vitória,291735,Jaborandi,"62,04%","81,48%","81,48%",75.405,"16,67%","16,67%","16,67%",16.67
Sudoeste,Guanambi,291740,Jacaraci,"89,17%","95,00%","95,00%",93.178125,"91,67%","100,00%","100,00%",97.396875
Centro Norte,Jacobina,291750,Jacobina,"82,41%","94,44%","94,44%",90.68062499999999,"82,87%","91,67%","91,67%",88.92
Sul,Jequié,291760,Jaguaquara,"131,11%","128,89%","130,00%",130,"92,78%","91,67%","91,67%",92.016875
