Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,"Cumprimento da Diretriz do Plano de Amostragem da Vigilância
Norte,Senhor do Bonfim,291770,Jaguarari,"27,08%","4,86%","27,08%",20.136249999999997,"1,39%","2,08%","2,08%",1.864375
Leste,Santo Antônio de Jesus,291780,Jaguaripe,"92,50%","95,00%","92,50%",93.28125,"53,03%","53,79%","52,27%",52.9825
Nordeste,Alagoinhas,291790,Jandaíra,"46,30%","83,33%","83,33%",71.758125,,"59,26%","59,26%",40.74125
Sul,Jequié,291800,Jequié,"114,10%","115,71%","115,71%",115.20687499999997,"82,37%","82,37%","82,05%",82.25
Norte,Paulo Afonso,291810,Jeremoabo,"115,38%","115,38%","115,38%",115.37999999999997,"114,74%","115,38%","115,38%",115.18
Leste,Santo Antônio de Jesus,291820,Jiquiriçá,"93,33%","115,00%","115,00%",108.22812499999999,"100,00%","102,50%","102,50%",101.71875
Sul,Jequié,291830,Jitaúna,"78,33%","74,17%","77,50%",76.71875,"106,48%","106,48%","106,48%",106.48
Centro Norte,Irecê,291835,João Dourado,,,,0,"8,33%","35,61%","34,85%",26.8
Norte,Juazeiro,291840,Juazeiro,,,,0,,,,0
Extremo Sul,Teixeira de Freitas,291845,Jucuruçu,,,,0,,,,0
Centro Norte,Irecê,291850,Jussara,,,,0,,,,0
Sul,Itabuna,291855,Jussari,,"72,22%","103,70%",61.45624999999999,,"81,48%","97,22%",61.92
Sudoeste,Brumado,291860,Jussiape,"70,37%","71,30%","71,30%",71.00937499999999,"62,96%","66,67%","66,67%",65.510625
Sul,Jequié,291870,Lafaiete Coutinho,"84,72%","97,22%","97,22%",93.31375,"73,61%","95,83%","95,83%",88.88625
Sudoeste,Guanambi,291875,Lagoa Real,"47,50%","47,50%","45,83%",46.873749999999994,"49,17%","49,17%","49,17%",49.17
Leste,Santo Antônio de Jesus,291880,Laje,"48,48%","83,33%","83,33%",72.439375,"53,79%","88,64%","87,12%",77.179375
Extremo Sul,Teixeira de Freitas,291890,Lajedão,"13,89%","90,28%","90,28%",66.40812500000001,"19,44%","69,44%","68,06%",53.2975
Centro Leste,Itaberaba,291900,Lajedinho,"62,50%","91,67%","90,28%",82.03312500000001,"91,67%","100,00%","98,61%",96.875625
Sul,Jequié,291905,Lajedo do Tabocal,"95,37%","97,22%","98,15%",96.990625,"104,63%","105,56%","105,56%",105.269375
Centro Leste,Serrinha,291910,Lamarão,"123,15%","123,15%","122,22%",122.80125,"38,89%","77,78%","76,85%",65.278125
Centro Norte,Irecê,291915,Lapão,,,,0,,,,0
Leste,Salvador,291920,Lauro de Freitas,"107,50%","109,44%","109,44%",108.83375,"68,06%","66,67%","66,67%",67.104375
Centro Leste,Seabra,291930,Lençóis,"0,83%","78,33%","78,33%",54.11125,,"44,17%","44,17%",30.366875
Sudoeste,Guanambi,291940,Licínio de Almeida,"36,67%","72,50%","71,67%",60.99187499999999,"35,00%","58,33%","58,33%",51.039375
Sudoeste,Brumado,291950,Livramento de Nossa Senhora,"97,02%","100,00%","100,00%",99.06875,"98,21%","100,00%","100,00%",99.440625
Oeste,Barreiras,291955,Luís Eduardo Magalhães,"54,17%","73,61%","71,76%",66.84125,"5,26%","15,79%","15,79%",12.499375
Centro Leste,Itaberaba,291960,Macajuba,,"98,33%","98,33%",67.60187499999999,"57,50%","83,33%","83,33%",75.258125
Sudoeste,Itapetinga,291970,Macarani,"57,50%","99,17%","94,17%",84.27312500000001,"76,52%","79,55%","79,55%",78.603125
Sudoeste,Brumado,291980,Macaúbas,"35,00%","35,00%","35,00%",34.99999999999999,"41,67%","41,67%","41,67%",41.67
Norte,Paulo Afonso,291990,Macururé,,,,0,,,,0
Leste,Salvador,291992,Madre de Deus,"100,00%","100,00%","100,00%",100,"91,67%","84,09%","84,09%",86.45875
Sudoeste,Vitória da Conquista,291995,Maetinga,"130,56%","131,94%","131,94%",131.50875,"80,56%","83,33%","76,39%",79.861875
Sudoeste,Itapetinga,292000,Maiquinique,"83,33%","87,96%","87,96%",86.51312499999999,"22,22%","22,22%","22,22%",22.22
Centro Norte,Jacobina,292010,Mairi,"78,79%","90,91%","90,15%",86.83749999999999,"94,17%","107,50%","107,50%",103.334375
Sudoeste,Guanambi,292020,Malhada,"78,33%","82,50%","74,17%",78.07312499999999,"38,33%","38,33%","38,33%",38.33
Sudoeste,Brumado,292030,Malhada de Pedras,"95,37%","99,07%","99,07%",97.91375,"79,63%","79,63%","78,70%",79.28125
Sul,Jequié,292040,Manoel Vitorino,"75,00%","83,33%","83,33%",80.72687499999999,"91,67%","89,17%","85,00%",88.3875
Oeste,Barreiras,292045,Mansidão,,,,0,,,,0
Sul,Jequié,292050,Maracás,"62,88%","103,03%","103,03%",90.483125,"77,27%","100,00%","100,00%",92.896875
Leste,Cruz das Almas,292060,Maragogipe,"57,14%","57,14%","46,43%",53.123749999999994,"73,21%","73,81%","73,81%",73.6225
Sul,Itabuna,292070,Maraú,"65,91%","74,24%","90,91%",77.888125,"97,73%","81,06%","97,73%",92.520625
Centro Leste,Itaberaba,292080,Marcionílio Souza,,,,0,,,,0
Sul,Ilhéus,292090,Mascote,"30,83%","37,50%","49,17%",39.791875000000005,"32,50%","34,17%","50,00%",39.584375
Leste,Camaçari,292100,Mata de São João,"100,00%","100,00%","100,00%",100,"99,40%","100,00%","100,00%",99.8125
Sudoeste,Guanambi,292105,Matina,"65,83%","75,00%","74,17%",71.823125,"56,67%","57,50%","57,50%",57.240625
Extremo Sul,Teixeira de Freitas,292110,Medeiros Neto,"63,64%","99,24%","100,00%",88.4,"110,61%","102,27%","102,27%",104.87625
Centro Norte,Jacobina,292120,Miguel Calmon,"30,30%","44,70%","44,70%",40.199999999999996,"53,03%","44,70%","31,82%",42.473125
Leste,Santo Antônio de Jesus,292130,Milagres,,,,0,,,,0
Centro Norte,Jacobina,292140,Mirangaba,,"33,33%","33,33%",22.914375,"8,33%","50,00%","50,00%",36.978125
Sudoeste,Vitória da Conquista,292145,Mirante,"76,85%","78,70%","78,70%",78.12187499999999,"21,30%","21,30%","21,30%",21.3
Centro Leste,Serrinha,292150,Monte Santo,"82,22%","91,11%","91,11%",88.33187500000001,"57,78%","65,00%","63,33%",62.1175
Oeste,Ibotirama,292160,Morpará,,"93,52%","79,63%",59.08624999999999,,,,0
Centro Norte,Jacobina,292170,Morro do Chapéu,"79,49%","91,03%","91,03%",87.42374999999998,,"98,72%","101,28%",68.83
Sudoeste,Guanambi,292180,Mortugaba,"91,67%","95,00%","95,00%",93.95937499999998,"88,33%","89,17%","89,17%",88.9075
Centro Leste,Seabra,292190,Mucugê,"109,26%","105,56%","87,96%",100.11625,"85,19%","71,30%","73,15%",76.334375
Extremo Sul,Teixeira de Freitas,292200,Mucuri,"9,62%","105,13%","105,13%",75.28312499999998,"100,00%","100,00%","100,00%",100
Centro Norte,Irecê,292205,Mulungu do Morro,,,,0,,,,0
Centro Leste,Feira de Santana,292210,Mundo Novo,,,,0,,,,0
Leste,Santo Antônio de Jesus,292220,Muniz Ferreira,"60,19%","98,15%","97,22%",85.93875000000001,"80,56%","93,52%","93,52%",89.47
Oeste,Ibotirama,292225,Muquém do São Francisco,"50,00%",,,15.625,"70,83%","25,00%","25,00%",39.321875
Leste,Cruz das Almas,292230,Muritiba,,"46,53%","46,53%",31.989375,,"16,67%","16,67%",11.460625
Leste,Santo Antônio de Jesus,292240,Mutuípe,"72,73%","87,12%","87,12%",82.62312499999999,"48,48%","63,64%","62,88%",58.6175
Leste,Santo Antônio de Jesus,292250,Nazaré,,"105,56%","104,86%",72.31,,"75,00%","75,00%",51.5625
Sul,Valença,292260,Nilo Peçanha,"81,67%","81,67%","81,67%",81.66999999999999,"90,83%","90,83%","90,83%",90.83
Centro Leste,Serrinha,292265,Nordestina,"129,17%","129,17%","130,00%",129.48125,"101,67%","130,00%","130,00%",121.146875
Sudoeste,Itapetinga,292270,Nova Canaã,"76,67%","76,67%","76,67%",76.66999999999999,"93,33%","94,17%","94,17%",93.9075
Centro Leste,Feira de Santana,292273,Nova Fátima,,,,0,,,,0
Sul,Valença,292275,Nova Ibiá,"107,41%","111,11%","112,04%",110.3025,"100,93%","99,07%","90,74%",96.5275
Sul,Jequié,292280,Nova Itarana,"54,63%","63,89%","64,81%",61.34124999999999,"82,41%","87,96%","59,26%",75.463125
Centro Leste,Itaberaba,292285,Nova Redenção,,,,0,,,,0
Nordeste,Ribeira do Pombal,292290,Nova Soure,"65,15%","91,67%","91,67%",83.3825,"55,56%","79,17%","79,17%",71.791875
Extremo Sul,Teixeira de Freitas,292300,Nova Viçosa,"21,43%","106,55%","108,93%",80.84249999999999,,"94,05%","94,05%",64.659375
Centro Leste,Seabra,292303,Novo Horizonte,"4,17%","90,00%","90,00%",63.178124999999994,"4,17%","85,00%","85,00%",59.740625
Nordeste,Ribeira do Pombal,292305,Novo Triunfo,,,,0,,"33,33%","33,33%",22.914375
Nordeste,Ribeira do Pombal,292310,Olindina,"4,17%","73,61%","73,61%",51.90999999999999,,"99,31%","92,36%",65.669375
Oeste,Ibotirama,292320,Oliveira dos Brejinhos,,"48,48%","45,45%",32.19375,,,,0
Nordeste,Alagoinhas,292330,Ouriçangas,"5,56%","75,00%","75,00%",53.29999999999999,,"64,81%","64,81%",44.556875
Centro Norte,Jacobina,292335,Ourolândia,"24,17%","33,33%","33,33%",30.467499999999998,"10,00%","48,33%","48,33%",36.351875
Sudoeste,Guanambi,292340,Palmas de Monte Alto,"100,00%","100,00%","100,00%",100,"50,00%","55,30%","55,30%",53.64375
Centro Leste,Seabra,292350,Palmeiras,,,,0,,,,0
Sudoeste,Brumado,292360,Paramirim,"100,76%","101,52%","101,52%",101.28249999999998,"58,33%","58,33%","58,33%",58.33
Oeste,Ibotirama,292370,Paratinga,,,,0,,,,0
Nordeste,Ribeira do Pombal,292380,Paripiranga,,"66,67%","66,67%",45.83562499999999,,"90,28%","90,28%",62.0675
Sul,Itabuna,292390,Pau Brasil,"80,56%","83,33%","108,33%",91.839375,"100,00%","75,00%","91,67%",89.06375
Norte,Paulo Afonso,292400,Paulo Afonso,"113,64%","113,64%","112,88%",113.355,"110,23%","114,39%","114,39%",113.09
Centro Leste,Feira de Santana,292405,Pé de Serra,,"65,83%","73,33%",48.07062499999999,"56,67%","76,67%","76,67%",70.42
Nordeste,Alagoinhas,292410,Pedrão,"86,11%","83,33%","82,41%",83.85375,"92,59%","92,59%","91,67%",92.245
Norte,Paulo Afonso,292420,Pedro Alexandre,,"50,00%","50,00%",34.375,"3,33%","10,00%","10,00%",7.915625
Centro Leste,Seabra,292430,Piatã,,"59,17%","58,33%",40.364374999999995,,"76,67%","76,67%",52.710625
Norte,Juazeiro,292440,Pilão Arcado,,,,0,,,,0
Sudoeste,Guanambi,292450,Pindaí,"78,33%","98,33%","98,33%",92.08,"60,00%","75,00%","74,17%",70.00125
Norte,Senhor do Bonfim,292460,Pindobaçu,"157,58%","84,09%","188,64%",146.26187499999997,,,,0
Centro Leste,Feira de Santana,292465,Pintadas,"25,00%","78,70%","77,78%",61.57375,"14,81%","57,41%","57,41%",44.0975
Sul,Valença,292467,Piraí do Norte,,"62,96%","62,96%",43.285000000000004,,"54,63%","54,63%",37.558125
Sudoeste,Vitória da Conquista,292470,Piripá,"101,85%","101,85%","101,85%",101.85,"83,33%","92,59%","92,59%",89.69625
Centro Norte,Jacobina,292480,Piritiba,"32,58%","32,58%","32,58%",32.58,"64,39%","69,70%","67,42%",67.185625
Sul,Jequié,292490,Planaltino,"32,41%","33,33%","33,33%",33.042500000000004,,,,0
Sudoeste,Vitória da Conquista,292500,Planalto,"109,09%","109,09%","109,09%",109.08999999999997,"91,67%","91,67%","91,67%",91.67
Sudoeste,Vitória da Conquista,292510,Poções,"99,40%","111,90%","111,90%",107.99375,"76,19%","76,79%","76,79%",76.6025
Leste,Camaçari,292520,Pojuca,"77,56%","84,62%","83,97%",82.16999999999999,"1,92%","83,33%","83,33%",57.889375
Norte,Senhor do Bonfim,292525,Ponto Novo,"8,33%","65,83%","123,33%",69.42375000000001,"24,17%","57,50%","67,50%",50.834375
Extremo Sul,Porto Seguro,292530,Porto Seguro,"101,33%","101,33%","101,33%",101.32999999999998,"100,00%","100,33%","101,33%",100.601875
Sudoeste,Itapetinga,292540,Potiraguá,"100,00%","100,00%","98,15%",99.30624999999999,"34,26%","35,19%","35,19%",34.899375
Extremo Sul,Teixeira de Freitas,292550,Prado,,"32,64%","32,64%",22.44,"12,50%","34,72%","34,72%",27.77625
Centro Norte,Irecê,292560,Presidente Dutra,,,,0,,,,0
Sudoeste,Vitória da Conquista,292570,Presidente Jânio Quadros,"85,00%","86,67%","86,67%",86.148125,"53,33%","55,83%","55,83%",55.04875
Leste,Santo Antônio de Jesus,292575,Presidente Tancredo Neves,"102,08%","79,17%","86,81%",89.194375,"99,31%","100,00%","100,00%",99.784375
Centro Leste,Serrinha,292580,Queimadas,"106,06%","104,55%","104,55%",105.021875,"67,42%","67,42%","67,42%",67.42
Centro Leste,Serrinha,292590,Quijingue,"129,86%","130,56%","130,56%",130.34125,"122,92%","128,47%","128,47%",126.735625
Centro Norte,Jacobina,292593,Quixabeira,"38,89%","49,07%","12,04%",32.0025,"63,89%","65,74%","64,81%",64.813125
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,"46,97%","56,82%","47,73%",50.333125,"65,15%","64,39%","64,39%",64.6275
Norte,Juazeiro,292600,Remanso,,,,0,,,,0
Centro Leste,Serrinha,292610,Retirolândia,,"100,00%","100,00%",68.75,,"30,00%","27,50%",19.6875
Oeste,Barreiras,292620,Riachão das Neves,"154,55%","178,79%","179,55%",171.5,"108,33%","33,33%","33,33%",56.7675
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,"72,92%","80,56%","79,86%",77.91,"56,94%","61,11%","60,42%",59.548125
Sudoeste,Guanambi,292640,Riacho de Santana,"74,36%","75,00%","75,00%",74.8,,,,0
Nordeste,Ribeira do Pombal,292650,Ribeira do Amparo,,"89,17%","89,17%",61.304375,,"100,00%","100,00%",68.75
Nordeste,Ribeira do Pombal,292660,Ribeira do Pombal,,"100,56%","99,44%",68.71499999999999,,"98,89%","98,33%",67.776875
Sudoeste,Vitória da Conquista,292665,Ribeirão do Largo,"80,56%","73,15%","73,15%",75.465625,"86,11%","84,26%","85,19%",85.186875
Sudoeste,Brumado,292670,Rio de Contas,"97,50%","100,00%","100,00%",99.21874999999999,"69,17%","69,17%","69,17%",69.17
Sudoeste,Guanambi,292680,Rio do Antônio,"40,83%","48,33%","48,33%",45.98625,"67,50%","75,00%","75,00%",72.65625
Sudoeste,Brumado,292690,Rio do Pires,"50,00%","50,00%","50,00%",50,,,,0
Nordeste,Alagoinhas,292700,Rio Real,"55,77%","57,69%","57,69%",57.08999999999998,"49,36%","51,28%","51,28%",50.68
Norte,Paulo Afonso,292710,Rodelas,"109,26%","121,30%","121,30%",117.53750000000001,"95,37%","101,85%","101,85%",99.825
Centro Leste,Itaberaba,292720,Ruy Barbosa,"95,14%","90,97%","90,28%",92.014375,"90,28%","99,31%","97,92%",95.966875
Leste,Santo Antônio de Jesus,292730,Salinas da Margarida,,"91,67%","90,83%",62.708125,,"85,83%","85,83%",59.008125
Leste,Salvador,292740,Salvador,"189,13%","191,30%","190,22%",190.216875,"141,39%","142,12%","142,21%",141.925625
Centro Leste,Feira de Santana,292750,Santa Bárbara,,,,0,,,,0
Norte,Paulo Afonso,292760,Santa Brígida,"57,50%","115,00%","115,00%",97.03124999999999,"48,33%","48,33%","48,33%",48.33
Extremo Sul,Porto Seguro,292780,Santa Cruz Cabrália,"45,14%","79,86%","84,03%",70.57374999999999,"100,00%","100,00%","100,00%",100
Sul,Itabuna,292770,Santa Cruz da Vitória,"100,00%","75,00%","100,00%",92.1875,"91,67%","58,33%","75,00%",75
Sul,Jequié,292790,Santa Inês  ,"39,81%","39,81%","39,81%",39.809999999999995,"67,59%","65,74%","66,67%",66.666875
Sul,Ilhéus,292805,Santa Luzia,"50,00%","58,33%","72,50%",61.04062499999999,,,,0
Oeste,Santa Maria da Vitória,292810,Santa Maria da Vitória,,"173,72%","172,44%",118.9525,"12,82%","35,26%","35,26%",28.2475
Oeste,Barreiras,292840,Santa Rita de Cássia,"2,08%","87,50%","88,89%",61.3275,"7,64%","16,67%","16,67%",13.848125
Leste,Santo Antônio de Jesus,292850,Santa Teresinha,"135,19%","135,19%","135,19%",135.19,"110,19%","100,00%","100,00%",103.184375
Centro Leste,Serrinha,292800,Santaluz,"63,46%","65,38%","64,74%",64.53999999999999,"91,67%","90,38%","90,38%",90.783125
Oeste,Santa Maria da Vitória,292820,Santana,,,,0,,,,0
Centro Leste,Feira de Santana,292830,Santanópolis,"91,67%","91,67%","91,67%",91.67,"79,63%","79,63%","79,63%",79.63
Leste,Salvador,292860,Santo Amaro,,"99,48%","100,52%",68.78249999999998,,"111,98%","111,98%",76.98625
Leste,Santo Antônio de Jesus,292870,Santo Antônio de Jesus,"100,00%","114,17%","114,17%",109.741875,"83,33%","83,75%","83,75%",83.61875
Centro Leste,Feira de Santana,292880,Santo Estêvão,"62,22%","96,67%","96,67%",85.904375,"72,22%","98,89%","98,89%",90.555625
Oeste,Barreiras,292890,São Desidério,"140,28%","147,92%","150,00%",146.3125,"12,50%","16,67%","16,67%",15.366875
Centro Leste,Serrinha,292895,São Domingos,"132,41%","134,26%","134,26%",133.681875,"63,89%","63,89%","63,89%",63.89
Leste,Santo Antônio de Jesus,292910,São Felipe,"64,39%","96,21%","94,70%",85.7,"64,39%","96,97%","97,73%",87.07375
Leste,Cruz das Almas,292900,São Félix,,"75,00%","80,00%",53.43749999999999,,"80,00%","33,33%",37.49875
Leste,Santa Maria da Vitória,292905,São Félix do Coribe,,,,0,,,,0
Leste,Salvador,292920,São Francisco do Conde,"39,10%","63,46%","63,46%",55.847500000000004,,"3,21%","3,21%",2.206875
Centro Norte,Irecê,292925,São Gabriel,,,,0,,,,0
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,"81,41%","83,97%","84,62%",83.41375,"81,41%","82,05%","80,77%",81.37
Sul,Itabuna,292935,São José da Vitória,"85,19%","76,85%","84,26%",82.235,"120,37%","75,00%","83,33%",92.301875
Centro Norte,Jacobina,292937,São José do Jacuípe,"23,15%","64,81%","64,81%",51.79124999999999,,"8,33%","8,33%",5.726875
Leste,Santo Antônio de Jesus,292940,São Miguel das Matas,,"16,67%","15,83%",11.145624999999999,,,,0
Leste,Salvador,292950,São Sebastião do Passé,"80,36%","81,55%","75,60%",78.94687499999999,"69,64%","93,45%","91,07%",85.116875
Leste,Cruz das Almas,292960,Sapeaçu,,"30,83%","30,83%",21.195625,,"30,83%","30,83%",21.195625
Nordeste,Alagoinhas,292970,Sátiro Dias,"37,12%","62,12%","62,12%",54.30749999999998,"53,33%","110,00%","110,00%",92.290625
Leste,Salvador,292975,Saubara,"98,33%","100,00%","99,17%",99.16687499999999,"118,33%","118,33%","117,50%",118.01875
Centro Norte,Jacobina,292980,Saúde,"92,50%","100,00%","99,17%",97.345,"83,33%","100,00%","100,00%",94.790625
Centro Leste,Seabra,292990,Seabra,"86,31%","88,69%","88,69%",87.94625,"46,43%","45,83%","45,83%",46.0175
Sudoeste,Guanambi,293000,Sebastião Laranjeiras,,,,0,,,,0
Norte,Senhor do Bonfim,293010,Senhor do Bonfim,"108,33%","75,00%","183,33%",126.03937499999999,,"75,00%","98,15%",60.24375
Norte,Juazeiro,293020,Sento Sé,,,,0,"5,77%",,,1.803125
Norte,Santa Maria da Vitória,293015,Serra do Ramalho,"32,64%","48,61%","44,44%",42.055625,,,,0
Oeste,Santa Maria da Vitória,293030,Serra Dourada,"0,83%",,,0.25937499999999997,,,,0
Centro Leste,Feira de Santana,293040,Serra Preta,,,,0,,,,0
Centro Leste,Serrinha,293050,Serrinha,"107,41%","120,37%","120,37%",116.32000000000001,"104,17%","120,37%","120,37%",115.3075
Centro Norte,Jacobina,293060,Serrolândia,"43,33%","43,33%","43,33%",43.33,"10,00%","10,00%","10,00%",10
Leste,Camaçari,293070,Simões Filho,,"76,45%","76,45%",52.55937499999999,,,,0
Oeste,Santa Maria da Vitória,293075,Sítio do Mato,"98,33%",,,30.728124999999995,"83,33%",,,26.040625
Nordeste,Ribeira do Pombal,293076,Sítio do Quinto,"65,74%","74,07%","75,00%",71.815625,"73,15%","83,33%","82,41%",79.80375
Norte,Juazeiro,293077,Sobradinho,,,,0,,,,0
Centro Leste,Seabra,293080,Souto Soares,"100,00%","100,00%","98,33%",99.37375,"100,83%","100,83%","100,83%",100.83
Oeste,Barreiras,293090,Tabocas do Brejo Velho,,,,0,,,,0
Sudoeste,Brumado,293100,Tanhaçú,"96,21%","121,21%","125,00%",114.81875,"109,09%","108,33%","118,94%",112.54625
Sudoeste,Guanambi,293105,Tanque Novo,"86,67%","90,00%","90,00%",88.95937500000001,"75,00%","75,00%","74,17%",74.68875
Centro Leste,Feira de Santana,293110,Tanquinho,,"98,15%","98,15%",67.478125,,"89,81%","89,81%",61.744375
Sul,Valença,293120,Taperoá,,"88,64%","90,15%",61.506249999999994,,"56,06%","56,82%",38.82625
Centro Norte,Jacobina,293130,Tapiramutá,"16,67%","16,67%","16,67%",16.669999999999995,"30,83%","32,50%","30,83%",31.351875
Extremo Sul,Teixeira de Freitas,293135,Teixeira de Freitas,"72,44%","96,79%","96,79%",89.18062499999998,"73,72%","97,44%","97,44%",90.0275
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,"93,52%","93,52%","93,52%",93.52,"98,15%","100,00%","100,00%",99.421875
Centro Leste,Serrinha,293150,Teofilândia,"121,21%","121,21%","121,21%",121.20999999999998,"112,88%","112,88%","112,12%",112.595
Sul,Valença,293160,Teolândia,"94,17%","97,50%","97,50%",96.459375,"99,17%","99,17%","18,33%",68.855
Centro Leste,Feira de Santana,293170,Terra Nova,"30,83%","65,00%","65,00%",54.321875,"18,33%","38,33%","38,33%",32.08
Sudoeste,Vitória da Conquista,293180,Tremedal,"95,00%","99,17%","100,00%",98.17812500000001,"50,00%","49,17%","49,17%",49.429375
Centro Leste,Serrinha,293190,Tucano,"76,67%","87,78%","87,22%",84.098125,"51,11%","55,56%","55,56%",54.169375
Norte,Juazeiro,293200,Uauá,"44,70%",,,13.96875,,,,0
Leste,Santo Antônio de Jesus,293210,Ubaíra,"12,12%","27,27%","26,52%",22.254375,"19,70%","20,45%","19,70%",19.934375
Sul,Itabuna,293220,Ubaitaba,,,,0,,,,0
Sul,Itabuna,293230,Ubatã,,"39,58%","44,44%",29.033749999999998,,"49,31%","58,33%",37.283125
Centro Norte,Irecê,293240,Uibaí,,,,0,,,,0
Centro Norte,Jacobina,293245,Umburanas,,"78,79%","79,55%",54.45312499999999,,"78,79%","77,27%",53.598125
Sul,Ilhéus,293250,Una,,"75,00%","90,91%",57.528749999999995,,"49,24%","72,73%",42.66125
Sudoeste,Guanambi,293260,Urandi,"18,33%","100,00%","99,17%",74.16687499999999,"6,67%","80,83%","80,00%",57.34375
Sul,Ilhéus,293270,Uruçuca,,"48,48%","53,79%",35.32125,,"59,09%","75,00%",46.590625
Centro Leste,Itaberaba,293280,Utinga,,,,0,,,,0
Sul,Valença,293290,Valença,"98,75%","98,75%","98,75%",98.75,"75,00%","75,00%","66,25%",71.71875
Centro Leste,Serrinha,293300,Valente ,"128,47%","128,47%","128,47%",128.47,"104,17%","104,86%","104,86%",104.644375
Centro Norte,Jacobina,293305,Várzea da Roça,"49,17%","74,17%","74,17%",66.35749999999999,"41,67%","75,00%","75,00%",64.584375
Centro Norte,Jacobina,293310,Várzea do Poço,"41,67%","56,48%","56,48%",51.85187499999999,"14,81%","16,67%","15,74%",15.74
Centro Norte,Jacobina,293315,Várzea Nova,"94,17%","89,17%","88,33%",90.4175,"125,83%","104,17%","104,17%",110.93875
Leste,Santo Antônio de Jesus,293317,Varzedo,"95,37%","115,74%","115,74%",109.37437499999999,"119,44%","126,85%","125,93%",124.189375
Leste,Salvador,293320,Vera Cruz,"69,64%","71,43%","70,83%",70.645625,"35,12%","89,88%","90,48%",72.9925
Extremo Sul,Teixeira de Freitas,293325,Vereda,,"38,89%","39,81%",27.081874999999993,"66,67%","96,30%","96,30%",87.040625
Sudoeste,Vitória da Conquista,293330,Vitória da Conquista,"97,30%","97,30%","97,30%",97.3,"54,05%","54,05%","53,83%",53.9675
Centro Leste,Itaberaba,293340,Wagner,,,,0,,,,0
Oeste,Barreiras,293345,Wanderley,"173,33%","150,83%","137,50%",152.8625,"33,33%","15,00%","15,00%",20.728125
Sul,Valença,293350,Wenceslau Guimarães,"100,00%","100,00%","100,76%",100.285,"100,00%","99,24%","90,91%",96.35375
Centro Norte,Irecê,293360,Xique-Xique,"59,52%","59,52%","58,93%",59.29874999999999,"103,57%","102,98%","101,79%",102.718125
